entidad_id,fecha,muestreo,peso_fresco,peso_seco,porcentaje_humedad,zona_id,zona,variedad_id,variedad,tratamiento_entrada_id,tratamiento_entrada,tratamiento_salida_id,tratamiento_salida,ue,_merge
2,2024-05-17,M2,0.4502,0.219,48.64504664593513,2,pichidegua,1,santina,0,control,11,erger 5% + nca 6%,3,both
3,2024-05-17,M2,0.7738,0.3667999999999999,47.40242956836391,2,pichidegua,1,santina,3,zn+u+eth,6,control,4,both
4,2024-05-17,M2,0.5127999999999999,0.3562,69.46177847113887,2,pichidegua,1,santina,4,ethephon,11,erger 5% + nca 6%,5,both
5,2024-05-17,M2,0.5895,0.2847,48.295165394402034,2,pichidegua,1,santina,5,aba,7,dormex 3% + break,6,both
6,2024-05-17,M2,0.5492,0.2691,48.99854333576111,2,pichidegua,1,santina,3,zn+u+eth,8,dormex 2% + 2% ac. mineral,7,both
7,2024-05-17,M2,0.5362,0.2542999999999999,47.426333457665045,2,pichidegua,1,santina,0,control,6,control,8,both
8,2024-05-17,M2,0.6576,0.3121,47.46046228710463,2,pichidegua,1,santina,1,fsh,8,dormex 2% + 2% ac. mineral,9,both
9,2024-05-17,M2,0.6451,0.3083999999999999,47.80654162145403,2,pichidegua,1,santina,5,aba,6,control,10,both
10,2024-05-17,M2,0.3996,0.193,48.2982982982983,2,pichidegua,1,santina,2,zn+eth,11,erger 5% + nca 6%,11,both
11,2024-05-17,M2,0.3210999999999999,0.1569,48.86328246652135,2,pichidegua,1,santina,4,ethephon,7,dormex 3% + break,12,both
12,2024-05-17,M2,0.4454999999999999,0.2167,48.64197530864199,2,pichidegua,1,santina,3,zn+u+eth,8,dormex 2% + 2% ac. mineral,13,both
13,2024-05-17,M2,0.49,0.2417,49.326530612244895,2,pichidegua,1,santina,5,aba,11,erger 5% + nca 6%,14,both
14,2024-05-17,M2,0.6233,0.3016,48.38761431092571,2,pichidegua,1,santina,1,fsh,7,dormex 3% + break,15,both
15,2024-05-17,M2,0.5224,0.2577,49.3300153139357,2,pichidegua,1,santina,0,control,6,control,16,both
16,2024-05-17,M2,0.5363,0.2571,47.93958605258251,2,pichidegua,1,santina,4,ethephon,6,control,17,both
17,2024-05-17,M2,0.6695,0.3277,48.94697535474235,2,pichidegua,1,santina,2,zn+eth,8,dormex 2% + 2% ac. mineral,18,both
18,2024-05-17,M2,0.5857,0.2825,48.23288372887143,2,pichidegua,1,santina,4,ethephon,11,erger 5% + nca 6%,19,both
19,2024-05-17,M2,0.3565,0.1767,49.56521739130434,2,pichidegua,1,santina,1,fsh,7,dormex 3% + break,20,both
20,2024-05-17,M2,0.4849,0.2365,48.77294287481954,2,pichidegua,1,santina,3,zn+u+eth,13,,21,both
21,2024-05-17,M2,0.6482,0.3136,48.38012958963283,2,pichidegua,1,santina,2,zn+eth,13,,22,both
22,2024-05-17,M2,0.5609,0.2721,48.51132109110359,2,pichidegua,1,santina,0,control,13,,23,both
23,2024-05-17,M2,0.6324,0.2981,47.13788741302974,2,pichidegua,1,santina,5,aba,13,,24,both
24,2024-05-17,M2,0.4161999999999999,0.2033999999999999,48.870735223450254,2,pichidegua,1,santina,3,zn+u+eth,13,,25,both
25,2024-05-17,M2,0.4951,0.2440999999999999,49.30317107655018,2,pichidegua,1,santina,4,ethephon,13,,26,both
26,2024-05-17,M2,0.4272999999999999,0.2152,50.36274280365083,2,pichidegua,1,santina,0,control,13,,27,both
27,2024-05-17,M2,0.3361,0.1619,48.17018744421304,2,pichidegua,1,santina,2,zn+eth,13,,28,both
28,2024-05-17,M2,0.4543,0.2202,48.47017389390272,2,pichidegua,1,santina,1,fsh,13,,29,both
29,2024-05-17,M2,0.2603,0.1283,49.28928159815598,2,pichidegua,1,santina,5,aba,13,,30,both
0,2024-05-31,M3,0.8435,0.3768,44.67101363366925,2,pichidegua,1,santina,2,zn+eth,7,dormex 3% + break,1,both
1,2024-05-31,M3,0.4956,0.2320999999999999,46.83212267958029,2,pichidegua,1,santina,1,fsh,8,dormex 2% + 2% ac. mineral,2,both
2,2024-05-31,M3,0.5941000000000001,0.2728,45.918195589968015,2,pichidegua,1,santina,0,control,11,erger 5% + nca 6%,3,both
3,2024-05-31,M3,0.5428999999999999,0.2502,46.08583532878984,2,pichidegua,1,santina,3,zn+u+eth,6,control,4,both
4,2024-05-31,M3,0.5884,0.2813,47.80761386811692,2,pichidegua,1,santina,4,ethephon,11,erger 5% + nca 6%,5,both
5,2024-05-31,M3,0.44,0.2017999999999999,45.86363636363636,2,pichidegua,1,santina,5,aba,7,dormex 3% + break,6,both
6,2024-05-31,M3,0.2799,0.1301999999999999,46.5166130760986,2,pichidegua,1,santina,3,zn+u+eth,8,dormex 2% + 2% ac. mineral,7,both
7,2024-05-31,M3,0.4818999999999999,0.2234999999999999,46.378916787715305,2,pichidegua,1,santina,0,control,6,control,8,both
8,2024-05-31,M3,0.3951,0.1817,45.98835737787902,2,pichidegua,1,santina,1,fsh,8,dormex 2% + 2% ac. mineral,9,both
